rq,setting,task,budget,repeat,tabpfn_auroc,baseline_auroc,delta,n_geographic_units_used,valid_pair
RQ1,Country-specific,3c,40,1,0.7272116354014292,0.7030098914366265,0.02420174396480268,6,True
RQ1,Country-specific,3c,40,2,0.7497789915468673,0.7230662944403391,0.026712697106528238,8,True
RQ1,Country-specific,3c,40,3,0.6972618884719171,0.6812602089772859,0.01600167949463116,8,True
RQ1,Country-specific,3c,40,4,0.7231060029870717,0.6825522061044518,0.04055379688261995,8,True
RQ1,Country-specific,3c,40,5,0.7290967305784422,0.677232230232762,0.05186450034568013,8,True
RQ1,Country-specific,3c,40,6,0.7513083268888161,0.7096930688892487,0.041615257999567445,8,True
RQ1,Country-specific,3c,40,7,0.7809820277810979,0.7143550632906822,0.06662696449041572,7,True
RQ1,Country-specific,3c,40,8,0.7662203764929837,0.7449302042196895,0.021290172273294217,7,True
RQ1,Country-specific,3c,40,9,0.7190261300843015,0.702706814430675,0.016319315653626543,8,True
RQ1,Country-specific,3c,50,0,0.75075269121614,0.7232741820430242,0.027478509173115784,8,True
RQ1,Country-specific,3c,50,1,0.7389093470166559,0.7232531798633767,0.01565616715327922,6,True
RQ1,Country-specific,3c,50,2,0.7648841330241137,0.7460083474306205,0.018875785593493233,8,True
RQ1,Country-specific,3c,50,3,0.7135727444616928,0.6923404492760044,0.021232295185688477,8,True
RQ1,Country-specific,3c,50,4,0.7520997824525169,0.7034828578369474,0.048616924615569435,8,True
RQ1,Country-specific,3c,50,5,0.7458651843791282,0.694983314775355,0.05088186960377317,8,True
RQ1,Country-specific,3c,50,6,0.7799442033707489,0.7133504274129907,0.06659377595775817,8,True
RQ1,Country-specific,3c,50,7,0.7864583137089278,0.7302535339219105,0.05620477978701732,7,True
RQ1,Country-specific,3c,50,8,0.7809040599711989,0.7544900274953726,0.0264140324758263,7,True
RQ1,Country-specific,3c,50,9,0.7173934344230678,0.7104025020133627,0.006990932409705053,8,True
RQ1,Continent-specific,2c,10,0,0.567415451599865,0.5240037298940021,0.04341172170586283,2,True
RQ1,Continent-specific,2c,10,1,0.5956479698181014,0.551885348481375,0.04376262133672637,2,True
RQ1,Continent-specific,2c,10,2,0.6224933080332232,0.5969931859677339,0.02550012206548935,2,True
RQ1,Continent-specific,2c,10,3,0.6314356943851263,0.6121805683038336,0.01925512608129265,2,True
RQ1,Continent-specific,2c,10,4,0.5470113344119057,0.5338967889622157,0.01311454544969004,2,True
RQ1,Continent-specific,2c,10,5,0.6229860731301003,0.5823285754029347,0.04065749772716565,2,True
RQ1,Continent-specific,2c,10,6,0.6010731747242525,0.5765738993108231,0.024499275413429333,2,True
RQ1,Continent-specific,2c,10,7,0.6397513177667348,0.6396495641008847,0.0001017536658500795,2,True
RQ1,Continent-specific,2c,10,8,0.5931873605114384,0.5725786526931405,0.020608707818297933,2,True
RQ1,Continent-specific,2c,10,9,0.6111337024470642,0.5910587712046416,0.020074931242422656,2,True
RQ1,Continent-specific,2c,20,0,0.611461431942009,0.5691969236241182,0.04226450831789075,2,True
RQ1,Continent-specific,2c,20,1,0.6385985607363603,0.6039778534387,0.034620707297660314,2,True
